text,label
"Your account has been suspended. Click here to verify.",1
"Congratulations! You have won a free gift card. Reply to claim.",1
"Reminder: Your bill is due tomorrow. Pay now to avoid late fees.",0
"Urgent: Update your payment information immediately.",1
"Your package is on hold. Provide your details to proceed.",1
"Hi, are we still meeting for lunch today?",0
"Security alert: Unusual login detected. Reset your password.",1
"Don't forget about the meeting at 3 PM.",0
"You have a new voicemail. Listen now.",0
"Final notice: Your account will be closed unless you act now.",1
